gfx,cu_num,token,model_dim,inter_dim,expert,topk,act_type,dtype,q_dtype_a,q_dtype_w,q_type,use_g1u1,doweight_stage1,block_m,ksplit,us1,kernelName1,err1,us2,kernelName2,err2,us,run_1stage,xbf16,flat,tflops,bw
gfx950,256,1,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,123.76,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,123.76,0,0,0,0,0
gfx950,256,2,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,122.5581,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,122.5581,0,0,0,0,0
gfx950,256,4,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,123.8523,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_mxmoe_g2_a4w4_16x256x256_atomic_nt,0.0,123.8523,0,0,0,0,0
gfx950,256,8,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,138.4936,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x256x256_atomic_sbm16,0.0,138.4936,0,0,0,0,0
gfx950,256,16,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,233.5529,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_persist_nt_sbm16,0.0,233.5529,0,0,0,0,0
gfx950,256,32,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,353.1121,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.0,353.1121,0,0,0,0,0
gfx950,256,64,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,516.0467,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.0,516.0467,0,0,0,0,0
gfx950,256,128,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,601.5348,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.0,601.5348,0,0,0,0,0
gfx950,256,256,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,16,0,619.6886,flydsl_mxmoe_g1_a4w4_16x256x256_f16in_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t16x128x128_atomic_nt_sbm16,0.0,619.6886,0,0,0,0,0
gfx950,256,512,4096,2048,288,8,ActivationType.Silu,torch.bfloat16,torch.float4_e2m1fn_x2,torch.float4_e2m1fn_x2,QuantType.per_1x32,1,0,32,0,640.5731,flydsl_mxmoe_g1_a4w4_32x256x256_nt,0.0,0,flydsl_moe2_layout_afp4_wfp4_bf16_t32x256x128_atomic_nt_sbm32,0.0,640.5731,0,0,0,0,0
